Orden;Periodo panel;ciudad;cod_distrito;distrito;cod_barrio;barrio;año;fecha_indicador;fuente_indicador;categoría_1;categoría_2;indicador_nivel1;indicador_nivel2;indicador_nivel3;unidad_indicador;indicador_completo;valor_indicador
37672;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Superficie;;;Ha;Superficie (Ha.) ;147
37673;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Características Generales del Distrito-Barrio;;Densidad de población;;;Habitantes/Ha.;Población densidad (hab./Ha.) ;161
37674;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;2022;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;;;Habitantes;Número Habitantes;23.417
37675;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;2022;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;Hombres;;Habitantes;Población Hombres ;11.568
37676;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/01/2022;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;Mujeres;;Habitantes;Población Mujeres;11.849
37677;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;2022;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Edad Media;;;Edad;Edad media de la población;45,96
37678;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/01/2022;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;0-14;;Personas;Población de 0 a 14 años   ;1.585
37679;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/01/2022;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;15-29;;Personas;Población de 15 a 29 años;3.824
37680;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/01/2022;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;30-44;;Personas;Población de 30 a 44  años;6.327
37681;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/01/2022;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;45-64;;Personas;Población de 45 a 64 años;7.205
37682;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/01/2022;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;65-79;;Personas;Población de 65 a 79 años      ;3.089
37683;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/01/2022;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;80 y más;;Personas;Población de 80 años y más           ;1.387
37684;2022;Ciudad de Madrid;1;Centro;11;Palacio;2022;01/01/2022;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;65 y más;;Personas;Población de 65 años y más          ;4.476
37685;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;de 3 a 16 años;;Personas;Población en etapa educativa (Población de 3 a 16 años -16 no incluidos)                            ;1.767
37686;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes; de 0-15 entre población total;;Proporción;Proporción de juventud (Población de 0-15 años/Población total) porcentaje;7,49
37687;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;Población > 65 años/Población total;;Proporción;Proporción de envejecimiento (Población mayor de 65 años/Población total);18,79
37688;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;Población > 80 años/ Población >65 años;;Proporción;Proporción de sobre-envejecimiento (Población mayor de 80 años/ Población mayor de 65 años);31,32
37689;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;Índice de dependencia;;Índice;Índice de dependencia (Población de 0-15 + población 65 años y más / Pob. 16-64) ;35,7
37690;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;Nacionalidad española;;Personas;Personas con nacionalidad española             ;18.923
37691;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;Hombres;Nacionalidad española;Personas;Personas con nacionalidad española Hombres                      ;9.285
37692;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;Mujeres;Nacionalidad española;Personas;Personas con nacionalidad española Mujeres                         ;9.638
37693;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;;Nacionalidad extranjera;Personas;Personas con nacionalidad extranjera            ;4.660
37694;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;Hombres;Nacionalidad extranjera;Personas;Personas con nacionalidad extranjera Hombres                       ;2.346
37695;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;Mujeres;Nacionalidad extranjera;Personas;Personas con nacionalidad extranjera Mujeres                        ;2.314
37696;2022;Ciudad de Madrid;1;Centro;11;Palacio;2021;01/01/2021;Estadística Ayuntamiento de Madrid;Población del distrito;Estructura de población;Número de Habitantes;Extranjeros menos UE y resto países de OCDE / Población total;Personas migrantes;Proporción;Proporción de personas migrantes (Población extranjera menos UE y resto países de OCDE / Población total);0,09
