Barrio;Año medio de contrucción de inmuebles de uso residencial ;Apartamentos Municipales para Mayores;Asociaciones (Sección 1ª);Asociaciones culturales y casas regionales;Asociaciones de mujeres;Asociaciones vecinales;Bibliotecas Comunidad Madrid;Bibliotecas Municipales;Campos de fútbol 11;Centro de Día de Atención a Niños y Niñas (de 3 a 12 años) ;Centros de Adolescentes y Jóvenes (ASPA) ;Centros de Apoyo a las Familias (CAF);Centros de Atención a la Infancia (CAI);Centros de Atención a las Adicciones (CAD y CCAD);Centros de Día de Alzheimer y Físicos;Centros de Servicios Sociales;Centros deportivos Municipales;Centros Municipales de Mayores ;Centros Municipales de Salud Comunitaria (CMSC);Centros para personas sin hogar ;Centros y Espacios Culturales;Colegios Públicos Infantil y Primaria ;Duración media del crédito (meses) en transacción de vivienda ;Edad media de la población;Escuelas Infantiles Municipales;Espacios de Igualdad ;Espacios de Ocio para Adolescentes (El Enredadero);Etapas educativas. Total niñas;Etapas educativas. Total niños;Fundaciones (Sección 2ª);Hogares con un hombre solo mayor de 65 años                     ;Hogares con una mujer sola mayor de 65 años                      ;Hogares monoparentales: un hombre adulto con uno o más menores;Hogares monoparentales: una mujer adulta con uno o más menores;Índice de dependencia (Población de 0-15 + población 65 años y más / Pob. 16-64) ;Instalaciones deportivas básicas;Mercados Municipales;Número de inmuebles de uso residencial ;Número Habitantes;Paro registrado (número de personas registradas en SEPE en Febrero 2022) ;Paro registrado (número de personas registradas en SEPE en Febrero 2022) Hombres;Paro registrado (número de personas registradas en SEPE en Febrero 2022) Mujeres;"Pensión media mensual  Mujeres
";Pensión media mensual Hombres ;Personas con nacionalidad española             ;Personas con nacionalidad española Hombres                      ;Personas con nacionalidad española Mujeres                         ;Personas con nacionalidad extranjera            ;Personas con nacionalidad extranjera Hombres                       ;Personas con nacionalidad extranjera Mujeres                        ;Piscinas cubiertas;Piscinas de verano;Pista de atletismo ;Población de 0 a 14 años   ;Población de 15 a 29 años;Población de 30 a 44  años;Población de 45 a 64 años;Población de 65 a 79 años      ;Población de 65 años y más          ;Población de 80 años y más           ;Población densidad (hab./Ha.) ;Población en etapa educativa (Población de 3 a 16 años -16 no incluidos)                            ;Población en etapa educativa de 0 a 2 años;Población en etapa educativa de 12 a 15 años;Población en etapa educativa de 3 a 5 años;Población en etapa educativa de 6 a 11 años;Población en etapas educativas;Población Hombres ;Población infantil femenina en etapa educativa de 0 a 2 años;Población infantil femenina en etapa educativa de 12 a 15 años;Población infantil femenina en etapa educativa de 3 a 5 años;Población infantil femenina en etapa educativa de 6 a 11 años;Población infantil masculina en etapa educativa de 0 a 2 años;Población infantil masculina en etapa educativa de 12 a 15 años;Población infantil masculina en etapa educativa de 3 a 5 años;Población infantil masculina en etapa educativa de 6 a 11 años;Población mayor/igual  de 25 años  con estudios superiores, licenciatura, arquitectura, ingeniería sup., estudios sup. no universitarios, doctorado,  postgraduado  ;Población mayor/igual  de 25 años  que no sabe leer ni escribir o sin estudios                ;Población mayor/igual  de 25 años con Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado  ;Población mayor/igual  de 25 años con enseñanza primaria incompleta  ;Población mayor/igual  de 25 años con Formación profesional 2º grado, Bachiller Superior o BUP  ;Población mayor/igual  de 25 años con Nivel de estudios desconocido y/o no consta                                   ;Población mayor/igual  de 25 años con titulación media, diplomatura, arquitectura o ingeniería técnica    ;Población Mujeres;Proporción de envejecimiento (Población mayor de 65 años/Población total);Proporción de juventud (Población de 0-15 años/Población total) porcentaje;Proporción de personas migrantes (Población extranjera menos UE y resto países de OCDE / Población total);Proporción de sobre-envejecimiento (Población mayor de 80 años/ Población mayor de 65 años);Renta neta media anual de los hogares (Urban Audit)             ;Residencias para personas Mayores ;Superficie (Ha.) ;Superficie media de la vivienda (m2) en transacción                                                ;Tamaño medio del hogar      ;Tasa absoluta de paro registrado (Febrero  2022);Tasa absoluta de paro registrado Hombres ;Tasa absoluta de paro registrado Mujeres;Tasa bruta de natalidad (‰);Tasa de crecimiento demográfico (porcentaje);Tasa de desempleo en hombres de 16 a 24 años;Tasa de desempleo en hombres de 25 a 44 años;Tasa de desempleo en hombres de 45 a 64 años;Tasa de desempleo en mujeres de 16 a 24 años;Tasa de desempleo en mujeres de 25 a 44 años;Tasa de desempleo en mujeres de 45 a 64 años;Total hogares
11;1928;1;49;22;2;1;0;1;0;1;0;0;1;0;0;1;0;1;0;0;1;3;294;45,96;1;0;1;882;885;1;470;1045;36;147;35,7;8;1;13455;23417;1244;657;587;1198;1478;18923;9285;9638;4660;2346;2314;0;0;0;1585;3824;6327;7205;3089;4476;1387;161;1767;358;412;326;671;1767;11568;180;205;150;347;178;207;176;324;9213;496;3464;1294;3744;13;1982;11849;18,79;7,49;0,09;31,32;38974;0;147;72,7;2,03;7,42;7,59;7,24;6,4;0;3;5,01;11,38;1,48;6,28;9,96;11613
12;1927;0;98;28;4;9;1;0;0;0;0;0;0;0;3;0;0;1;0;1;4;3;277;42,87;2;0;0;1822;1987;0;660;1563;54;305;27,4;1;2;25537;46444;2689;1361;1328;1086;1299;33267;16579;16688;13971;8188;5783;0;0;0;3545;8142;15309;13151;4297;6297;2000;456;3809;819;850;705;1435;3809;24271;395;412;335;680;424;438;370;755;15605;1505;8714;3559;7391;27;3466;22173;13,45;8,06;0,19;33,42;29472;0;103;55,1;2,09;7,61;7,05;8,29;6,3;0,4;3,71;5,31;10,54;4,23;6,96;11,46;22614
13;1923;0;31;10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;267;44,78;0;0;0;360;376;0;217;401;11;60;31,2;0;0;6577;10828;451;218;233;1206;1411;7983;4024;3959;2804;1355;1449;0;0;0;650;2026;3120;3183;1301;1849;548;182;736;169;170;155;242;736;5345;93;79;74;114;76;91;81;128;4647;160;1376;489;1717;2;910;5483;16,98;6,82;0,12;30,24;40963;0;59;101;1,97;5,61;5,3;5,93;5,9;0,2;0,9;3,45;8,73;0,79;4,91;8,78;5488
14;1929;0;36;10;4;1;0;1;0;0;0;1;0;1;1;0;2;1;0;0;0;1;260;44,17;2;0;0;698;701;2;263;642;21;108;30,1;2;2;10631;18015;747;417;330;1204;1491;13870;7067;6803;4338;2224;2114;1;0;0;1215;3260;5306;5444;1875;2790;915;244;1399;323;344;254;478;1399;9221;155;172;124;247;168;172;130;231;8143;224;2325;718;2714;10;1409;8794;15,47;7,68;0,11;33,63;48203;0;74;86,4;2,04;5,51;5,73;5,26;6,8;1;1,28;3,76;9,13;0,64;3,56;8,85;8927
15;1930;0;46;16;1;2;0;1;0;2;0;0;0;0;1;1;0;1;0;1;1;1;264;43,91;1;0;0;1155;1240;1;536;1226;44;185;29,6;1;1;20299;32861;1528;786;742;1194;1404;25250;12602;12648;8176;4090;4086;0;0;0;2193;5911;10424;9117;3533;5216;1683;353;2395;516;578;427;874;2395;16349;223;307;206;419;293;271;221;455;13670;533;4901;1713;5195;17;2799;16512;15,66;7,17;0,13;32,77;35344;0;95;70,9;1,97;6,23;6,14;6,32;5,6;0;2,63;4,57;9,34;1,2;4,59;10,36;16967
16;1918;0;47;17;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;229;43,63;0;0;0;245;257;0;150;260;8;43;29;0;0;4657;8117;382;222;160;1151;1333;5433;2840;2593;2560;1280;1280;0;0;0;458;1804;2302;2267;933;1286;353;172;502;100;127;88;187;502;4232;43;60;44;98;57;67;44;89;2992;123;1229;380;1393;5;647;3885;16,19;6,28;0,17;28,52;35057;0;45;124;2,05;6,23;6,64;5,73;5,8;4,8;3,27;5,09;10,07;0;4,22;9,92;3895
21;1971;0;19;1;2;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;3;320;46,88;0;0;0;1295;1265;1;288;961;21;139;50,7;0;0;10967;22456;909;383;526;1269;1651;20807;9657;11150;1789;789;1000;1;0;0;2313;3207;4785;7001;3488;5150;1662;237;2560;461;700;482;917;2560;10436;220;374;245;456;241;326;237;461;7447;380;3213;1382;3639;23;2203;12020;22,33;11,33;0,04;33,41;46879;0;97;80,8;2,35;6,3;5,52;7,03;6,6;-1,4;2,39;4,98;6,88;2,3;6,15;8,85;9628
22;1976;0;32;12;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;2;318;47,52;1;0;0;1794;1893;1;474;1557;56;239;52,2;5;0;17602;36038;1390;583;807;1370;1737;33530;15358;18172;2865;1383;1482;0;1;0;3348;5312;7877;10470;6555;9031;2476;345;3687;657;929;718;1383;3687;16635;303;459;347;685;354;470;371;698;12366;599;5210;2210;5761;62;3659;19403;24,15;10,13;0,05;28,15;47683;0;107;65,3;2,35;6,1;5,45;6,68;5,5;-1,4;1,94;4,88;7,09;2,18;6,35;8,07;15474
23;1957;0;18;6;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;4;0;238;46,53;0;1;0;1054;1067;0;278;1012;15;112;49,5;2;1;9664;19734;900;402;498;1192;1540;17215;7780;9435;2861;1337;1524;0;0;0;1984;2680;5136;5399;2842;4535;1693;359;2121;470;426;471;754;2121;8994;231;217;234;372;239;209;237;382;5134;512;4355;1520;3460;15;1613;10740;22,55;10,56;0,11;37,7;35015;0;57;61,3;2,33;7,04;6,58;7,47;7;-1;3,17;4,89;9,56;3,52;6,13;9,86;8626
24;1997;0;14;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;283;39,95;1;0;0;1718;1832;1;116;268;45;191;38,7;7;0;8781;19469;618;257;361;1337;1695;18101;8873;9228;1471;701;770;0;0;0;3169;3054;4639;6562;1605;2045;440;140;3550;614;845;654;1437;3550;9543;288;423;321;686;326;422;333;751;6936;159;1905;587;2682;4;2039;9926;9,75;18,14;0,04;22,37;52569;0;141;88,6;2,57;4,52;3,84;5,17;10,6;-1,2;2,01;3,53;4,66;1,58;4,51;6,62;7603
